nuclide,Z,A,state_index,E_keV,t_half_s,lambda_m_per_s,Jpi,decay_modes
10Lim,3,10,1,200.0,3.7e-21,1.8733707582701224e+20,1+,IT=100
10Lin,3,10,2,480.0,1.35e-21,5.134423559703298e+20,(2+),IT=100
11Nm,7,11,1,740.0,6.899999999999999e-22,1.0045611312462975e+21,1/2-,p=100
12Bem,4,12,1,2251.0,2.33e-07,2974880.6032615677,0+,IT=100
16Nm,7,16,1,120.42,5.25e-06,132028.03439237055,0-      T=1,IT~100;B-=0.000389 25
18Fm,9,18,1,1121.36,1.6200000000000002e-07,4278686.299752749,5+,IT=100
22Nam,11,22,1,583.05,2.43e-07,2852457.5331684994,1+,IT=100
24Nam,11,24,1,472.2074,0.02018,34.34822500297053,1+,IT~100;B-=0.05
24Alm,13,24,1,425.8,0.13,5.331901388922656,1+,IT=82.5 30;B+=17.5 30;B+A=0.028 6
26Fm,9,26,1,643.4,0.0022,315.0669002545206,(4+),IT=82 11;B-=?;B-n=12 8
26Nam,11,26,1,82.4,4.35e-06,159344.1794390679,1+,IT=100
26Alm,13,26,1,228.306,6.346,0.10922583998738501,0+      T=1,B+=100
26Pm,15,26,1,164.4,1.1500000000000001e-07,6027366.787477785,(1+),IT=100
32Alm,13,32,1,956.6,2.0000000000000002e-07,3465735.902799726,(4+),IT=100
34Alm,13,34,1,46.47,0.0221,31.364125817192093,1+*,B-~100;B-n=11 4;B-2n ?
34Clm,17,34,1,146.36,1919.3999999999999,0.0003611270087318669,3+      T=0,B+=55.4 6;IT=44.6 6
38Clm,17,38,1,671.365,0.715,0.9694366161677557,5-,IT=100
38Km,19,38,1,130.15,0.92435,0.7498752426677614,0+*     T=1,B+=99.9670 43;IT=0.0330 43
38Kn,19,38,2,3458.1,2.1949999999999998e-05,31578.459251022567,(7)+,IT=100
40Km,19,40,1,1643.638,3.3600000000000004e-07,2062938.0373807892,0+,IT=100
42Scm,21,42,1,616.81,61.7,0.011234152035007217,7+,B+=100
43Sm,16,43,1,320.7,4.1500000000000005e-07,1670234.1700239643,(7/2-),IT=100
43Km,19,43,1,738.3,2.0000000000000002e-07,3465735.902799726,7/2-,IT=100
43Scm,21,43,1,151.79,0.00043799999999999997,1582.527809497592,3/2+,IT=100
