nuclide,Z,A,isomer_keV,isomer_u_keV,isomer_t_s,isomer_jp,gateway_keV,gateway_u_keV,dE_keV,gateway_jp,gateway_t_s,gateway_t_op,observed,multipole,p_release,p_return,p_unknown,beta,E_released_keV,leverage,gamma_GI_eV,width_kind,gJ,sigma_int_b_eV,doppler_fwhm_eV,sigma_eff_b,N_areal_cm2,thickness_cm,neec,atomic
26al,13,26,228.305,0.013,6.346,0+,1057.74,0.012,829.434,1+,2.5e-14,,1,M1,0,1,0,1,829.434,1,0.0182495,measured,3,611.662,1.99471,288.06,3.4715e+21,0.06943,0,0
26al,13,26,228.305,0.013,6.346,0+,1759.03,0.008,1530.73,2+,3.8e-12,,0,E2,0.980392,0.0196078,0,2,1754.56,1.14622,3.11036e-05,Weisskopf E2,5,0.510138,3.68126,0.130179,3.84085e+24,76.8171,0,0
26al,13,26,228.305,0.013,6.346,0+,1850.62,0.03,1622.31,1+,3.2e-14,,1,M1,0.00695134,0.993049,0,1.00695,1623.9,1.00098,0.0141583,measured,3,124.041,3.90151,29.8664,3.32513e+22,0.665025,0,0
26al,13,26,228.305,0.013,6.346,0+,2069.47,0.03,1841.16,(2+),1.4e-14,,1,E2,0.215746,0.784254,0,1.97159,1890.42,1.02675,0.000982444,measured,5,11.1377,4.42782,2.36296,2.14649e+23,4.29297,0,0
26al,13,26,228.305,0.013,6.346,0+,2071.64,0.04,1843.33,1+,3.67e-13,,1,M1,0.106305,0.893695,0,1.10671,1867.6,1.01317,0.0011105,measured,3,7.53592,4.43304,1.59693,5.65826e+23,11.3165,0,0
26al,13,26,228.305,0.013,6.346,0+,2660.92,0.05,2432.62,2+,3e-12,,0,E2,0.669769,0.330231,0,2.25146,2585.53,1.06286,0.000315273,Weisskopf E2,5,2.04745,5.8502,0.32877,1.35097e+24,27.0193,0,0
26al,13,26,228.305,0.013,6.346,0+,2740.03,0.03,2511.73,1+,3.1e-14,,1,M1,0.00803492,0.991965,0,1.00803,2513.56,1.00073,0.0145991,measured,3,53.3588,6.04046,8.29826,1.19547e+23,2.39093,0,0
26al,13,26,228.305,0.013,6.346,0+,2913.4,0.05,2685.1,2+,6.8e-14,,0,E2,0.450115,0.549885,0,2.6663,2787.86,1.03827,0.000516557,Weisskopf E2,5,2.75342,6.45739,0.400558,9.36323e+23,18.7265,0,0
26al,13,26,228.305,0.013,6.346,0+,3159.89,0.013,2931.58,2+,3.5e-15,,1,E2,0.792024,0.207976,0,2.17327,3112.41,1.06168,0.00057333,measured,5,2.56373,7.05018,0.341604,1.34699e+24,26.9398,0,0
34cl,17,34,146.36,0.03,1919.4,3+,461,0.04,314.64,1+,5.2e-12,,1,E2,0.995025,0.00497512,0,1,460.272,1.46285,4.36508e-07,measured,0.428571,0.0145241,0.661696,0.0206197,4.84974e+25,969.947,0,0
34cl,17,34,146.36,0.03,1919.4,3+,665.56,0.04,519.2,1+,9.2e-12,,1,E2,0.932313,0.0676868,0,1.09244,655.653,1.26281,3.33385e-06,measured,0.428571,0.0407383,1.09189,0.0350489,2.61174e+25,522.347,0,0
