nuclide,isomer_keV,isomer_t_s,signal_gateway_keV,signal_dE_keV,signal_line_keV,signal_yield,veto_gateway_keV,veto_dE_keV,veto_yield_of_signal_line,veto_p_release,veto_beta,signal_neec,veto_neec
26al,228.3,6.346,1759.03,1530.73,1342.14,0.980392,2660.92,2432.62,0,0.669769,2.25146,0,0
34cl,146.4,1919.4,461,314.64,461,0.995025,665.56,519.2,0.0919771,0.932313,1.09244,0,0
34cl,146.4,1919.4,461,314.64,461,0.995025,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,461,314.64,461,0.995025,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,461,314.64,0,0.995025,1,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,1887.14,1740.78,0,0.639991,1.61209,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,2158.05,2011.69,0,0.899526,1.81719,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,2721.1,2574.74,0.0707155,0.786482,1.75073,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,1230.26,1083.9,461,0.404216,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,1230.26,1083.9,461,0.404216,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,1887.14,1740.78,461,0.570571,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,1887.14,1740.78,461,0.570571,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,2158.05,2011.69,461,0.704982,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,2158.05,2011.69,461,0.704982,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,461,314.64,0,0.995025,1,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,665.56,519.2,0,0.932313,1.09244,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,1230.26,1083.9,0,0.659672,1.68761,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,1887.14,1740.78,0,0.639991,1.61209,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,2158.05,2011.69,0,0.899526,1.81719,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,2611.05,2464.69,0,0.528201,2.01789,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,2721.1,2574.74,0,0.786482,1.75073,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,2611.05,2464.69,461,0.290866,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,2611.05,2464.69,461,0.290866,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,2721.1,2574.74,461,0.546809,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,2721.1,2574.74,461,0.546809,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,461,314.64,0,0.995025,1,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,665.56,519.2,0,0.932313,1.09244,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,1230.26,1083.9,0,0.659672,1.68761,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,1887.14,1740.78,0,0.639991,1.61209,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,2158.05,2011.69,0,0.899526,1.81719,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,2611.05,2464.69,0,0.528201,2.01789,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,2721.1,2574.74,0,0.786482,1.75073,0,0
42sc,616.3,61.7,3174.66,2558.38,1329.8,1,3546,2929.72,0,1,3.87366,0,0
42sc,616.3,61.7,3546,2929.72,1358.6,1,3174.66,2558.38,0,1,3.91085,0,0
44sc,271.2,210996,631.07,359.829,281.2,0.489486,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,631.07,359.829,281.2,0.489486,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,2606.75,2335.51,0,0.697403,3.18501,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,2789.47,2518.23,0,0.527997,3.00975,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,2210.55,1939.31,0,0.880645,3.52107,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,2606.75,2335.51,0,0.697403,3.18501,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,2789.47,2518.23,0,0.527997,3.00975,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,2210.55,1939.31,0,0.880645,3.52107,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,2606.75,2335.51,0,0.697403,3.18501,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,2606.75,2335.51,0,0.697403,3.18501,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,2210.55,1939.31,0,0.880645,3.52107,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,2789.47,2518.23,0,0.527997,3.00975,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,2210.55,1939.31,0,0.880645,3.52107,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,2606.75,2335.51,0,0.697403,3.18501,0,0
46sc,142.5,18.75,227.767,85.239,227.767,1,1692.2,1549.67,0.0817264,1,2.08173,0,0
46sc,142.5,18.75,227.767,85.239,227.767,1,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,227.767,85.239,227.767,1,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,1692.2,1549.67,0,1,2.08173,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2070.31,1927.78,0,1,3.52475,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2410.45,2267.92,0,1,2.55261,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2459.64,2317.11,0.0720217,0.705827,2.26508,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2705.24,2562.71,0,1,2.53777,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,444.137,301.609,0,0.999101,1.9991,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,1692.2,1549.67,0,1,2.08173,0,0
